NAME,CPU %,MEM USAGE / LIMIT / MEM %,NET I/O,BLOCK I/O,STATUS,Date/Time
ipsec-vpn-server,0.02%,7.844MiB / 1.946GiB / 0.39%,1.38GB / 1.44GB,13.8MB / 135kB,Up,2023-10-17 14:03:39.565808
platform-nginx-1,0.02%,93.36MiB / 1.946GiB / 4.68%,104MB / 82.9MB,77.4MB / 58.2MB,Up,2023-10-17 14:04:39.564578
odoo,0.03%,249.4MiB / 1.946GiB / 12.51%,76.3MB / 137MB,152MB / 319kB,Up,2023-10-17 14:04:39.564578
platform-pgadmin-1,0.04%,115.7MiB / 1.946GiB / 5.81%,48.5kB / 579kB,11.3MB / 12.4MB,Up,2023-10-17 14:04:39.564578
platform-dps-1,0.01%,38.05MiB / 1.946GiB / 1.91%,1.18MB / 1.2MB,30.9MB / 47MB,Up,2023-10-17 14:04:39.564578
postgres,0.01%,139.8MiB / 1.946GiB / 7.01%,56.4MB / 70.9MB,104MB / 1.13GB,Up,2023-10-17 14:04:39.564578
ipsec-vpn-server,0.03%,7.852MiB / 1.946GiB / 0.39%,1.38GB / 1.44GB,13.8MB / 135kB,Up,2023-10-17 14:04:39.564578
platform-nginx-1,0.02%,104.9MiB / 1.946GiB / 5.26%,104MB / 82.9MB,87.6MB / 58.2MB,Up,2023-10-17 15:00:22.926477
odoo,0.02%,249.4MiB / 1.946GiB / 12.51%,76.7MB / 137MB,152MB / 319kB,Up,2023-10-17 15:00:22.926477
platform-pgadmin-1,0.04%,115.7MiB / 1.946GiB / 5.81%,49kB / 579kB,11.3MB / 12.4MB,Up,2023-10-17 15:00:22.926477
platform-dps-1,0.03%,38.05MiB / 1.946GiB / 1.91%,1.18MB / 1.2MB,30.9MB / 47.6MB,Up,2023-10-17 15:00:22.926477
postgres,0.00%,139.8MiB / 1.946GiB / 7.01%,56.7MB / 71.1MB,104MB / 1.14GB,Up,2023-10-17 15:00:22.926477
ipsec-vpn-server,0.00%,8.16MiB / 1.946GiB / 0.41%,1.38GB / 1.44GB,13.8MB / 135kB,Up,2023-10-17 15:00:22.926477
platform-nginx-1,0.02%,104.9MiB / 1.946GiB / 5.26%,104MB / 82.9MB,87.6MB / 58.2MB,Up,2023-10-17 15:00:35.977758
odoo,0.02%,249.4MiB / 1.946GiB / 12.51%,76.7MB / 137MB,152MB / 319kB,Up,2023-10-17 15:00:35.977758
platform-pgadmin-1,0.04%,115.7MiB / 1.946GiB / 5.81%,49kB / 579kB,11.3MB / 12.4MB,Up,2023-10-17 15:00:35.977758
platform-dps-1,0.01%,38.05MiB / 1.946GiB / 1.91%,1.18MB / 1.2MB,30.9MB / 47.6MB,Up,2023-10-17 15:00:35.977758
