NAME,CPU %,MEM USAGE / LIMIT / MEM %,NET I/O,BLOCK I/O,STATUS,Date/Time
platform-nginx-1,0.02%,107.8MiB / 1.946GiB / 5.41%,127MB / 103MB,94.1MB / 58.6MB,Up,2023-10-18 06:49:24.718394
odoo,0.02%,255.5MiB / 1.946GiB / 12.82%,91.1MB / 167MB,154MB / 385kB,Up,2023-10-18 06:49:24.718394
platform-pgadmin-1,0.04%,117MiB / 1.946GiB / 5.87%,54.8kB / 579kB,11.3MB / 12.4MB,Up,2023-10-18 06:49:24.718394
platform-dps-1,0.01%,39.37MiB / 1.946GiB / 1.98%,1.19MB / 1.2MB,34MB / 59.3MB,Up,2023-10-18 06:49:24.718394
postgres,0.00%,140.6MiB / 1.946GiB / 7.05%,68.5MB / 83.3MB,104MB / 1.43GB,Up,2023-10-18 06:49:24.718394
ipsec-vpn-server,0.00%,9.695MiB / 1.946GiB / 0.49%,1.38GB / 1.44GB,16MB / 139kB,Up,2023-10-18 06:49:24.718394
platform-nginx-1,0.02%,107.2MiB / 1.946GiB / 5.38%,127MB / 103MB,94.1MB / 58.6MB,Up,2023-10-18 06:56:05.407785
odoo,0.02%,255.5MiB / 1.946GiB / 12.82%,91.1MB / 167MB,154MB / 385kB,Up,2023-10-18 06:56:05.407785
platform-pgadmin-1,0.04%,117MiB / 1.946GiB / 5.87%,54.9kB / 579kB,11.3MB / 12.4MB,Up,2023-10-18 06:56:05.407785
platform-dps-1,0.02%,39.37MiB / 1.946GiB / 1.98%,1.19MB / 1.2MB,34MB / 59.4MB,Up,2023-10-18 06:56:05.407785
postgres,0.00%,140.6MiB / 1.946GiB / 7.05%,68.5MB / 83.3MB,104MB / 1.43GB,Up,2023-10-18 06:56:05.407785
ipsec-vpn-server,0.00%,10MiB / 1.946GiB / 0.50%,1.38GB / 1.44GB,16MB / 139kB,Up,2023-10-18 06:56:05.407785
platform-nginx-1,0.02%,107.2MiB / 1.946GiB / 5.38%,127MB / 103MB,94.1MB / 58.6MB,Up,2023-10-18 06:56:36.515053
odoo,0.02%,255.5MiB / 1.946GiB / 12.82%,91.1MB / 167MB,154MB / 385kB,Up,2023-10-18 06:56:36.515053
platform-pgadmin-1,0.04%,117MiB / 1.946GiB / 5.87%,54.9kB / 579kB,11.3MB / 12.4MB,Up,2023-10-18 06:56:36.515053
platform-dps-1,0.01%,39.37MiB / 1.946GiB / 1.98%,1.19MB / 1.2MB,34MB / 59.4MB,Up,2023-10-18 06:56:36.515053
postgres,0.00%,140.6MiB / 1.946GiB / 7.05%,68.5MB / 83.3MB,104MB / 1.43GB,Up,2023-10-18 06:56:36.515053
ipsec-vpn-server,0.00%,9.348MiB / 1.946GiB / 0.47%,1.38GB / 1.44GB,16MB / 139kB,Up,2023-10-18 06:56:36.515053
platform-nginx-1,0.02%,107.3MiB / 1.946GiB / 5.38%,127MB / 103MB,94.1MB / 58.6MB,Up,2023-10-18 06:58:29.251748
odoo,0.02%,255.5MiB / 1.946GiB / 12.82%,91.1MB / 167MB,154MB / 385kB,Up,2023-10-18 06:58:29.251748
platform-pgadmin-1,0.04%,117MiB / 1.946GiB / 5.87%,54.9kB / 579kB,11.3MB / 12.4MB,Up,2023-10-18 06:58:29.251748
platform-dps-1,0.02%,39.37MiB / 1.946GiB / 1.98%,1.19MB / 1.2MB,34MB / 59.4MB,Up,2023-10-18 06:58:29.251748
postgres,0.00%,140.6MiB / 1.946GiB / 7.05%,68.5MB / 83.4MB,104MB / 1.43GB,Up,2023-10-18 06:58:29.251748
ipsec-vpn-server,0.00%,9.637MiB / 1.946GiB / 0.48%,1.38GB / 1.44GB,16MB / 139kB,Up,2023-10-18 06:58:29.251748
platform-nginx-1,0.02%,107.3MiB / 1.946GiB / 5.38%,127MB / 103MB,94.1MB / 58.6MB,Up,2023-10-18 06:59:24.718239
odoo,0.02%,255.5MiB / 1.946GiB / 12.82%,91.1MB / 167MB,154MB / 385kB,Up,2023-10-18 06:59:24.718239
platform-pgadmin-1,0.04%,117MiB / 1.946GiB / 5.87%,54.9kB / 579kB,11.3MB / 12.4MB,Up,2023-10-18 06:59:24.718239
platform-dps-1,0.01%,39.37MiB / 1.946GiB / 1.98%,1.19MB / 1.2MB,34MB / 59.4MB,Up,2023-10-18 06:59:24.718239
postgres,0.02%,140.6MiB / 1.946GiB / 7.05%,68.5MB / 83.4MB,104MB / 1.43GB,Up,2023-10-18 06:59:24.718239
ipsec-vpn-server,0.00%,9.648MiB / 1.946GiB / 0.48%,1.38GB / 1.44GB,16MB / 139kB,Up,2023-10-18 06:59:24.718239
platform-nginx-1,0.02%,107.5MiB / 1.946GiB / 5.39%,127MB / 103MB,94.1MB / 58.6MB,Up,2023-10-18 07:06:05.408298
odoo,0.02%,255.5MiB / 1.946GiB / 12.82%,91.2MB / 167MB,154MB / 385kB,Up,2023-10-18 07:06:05.408298
platform-pgadmin-1,0.04%,117MiB / 1.946GiB / 5.87%,54.9kB / 579kB,11.3MB / 12.4MB,Up,2023-10-18 07:06:05.408298
platform-dps-1,0.01%,39.37MiB / 1.946GiB / 1.98%,1.19MB / 1.2MB,34MB / 59.5MB,Up,2023-10-18 07:06:05.408298
postgres,0.02%,140.6MiB / 1.946GiB / 7.05%,68.6MB / 83.4MB,104MB / 1.43GB,Up,2023-10-18 07:06:05.408298
ipsec-vpn-server,0.00%,9.965MiB / 1.946GiB / 0.50%,1.38GB / 1.44GB,16MB / 139kB,Up,2023-10-18 07:06:05.408298
platform-nginx-1,0.02%,107.5MiB / 1.946GiB / 5.39%,127MB / 103MB,94.1MB / 58.6MB,Up,2023-10-18 07:06:36.515366
odoo,0.02%,255.5MiB / 1.946GiB / 12.82%,91.2MB / 167MB,154MB / 385kB,Up,2023-10-18 07:06:36.515366
platform-pgadmin-1,0.04%,117MiB / 1.946GiB / 5.87%,54.9kB / 579kB,11.3MB / 12.4MB,Up,2023-10-18 07:06:36.515366
platform-dps-1,0.01%,39.37MiB / 1.946GiB / 1.98%,1.19MB / 1.2MB,34MB / 59.5MB,Up,2023-10-18 07:06:36.515366
postgres,0.00%,140.6MiB / 1.946GiB / 7.05%,68.6MB / 83.4MB,104MB / 1.43GB,Up,2023-10-18 07:06:36.515366
ipsec-vpn-server,0.00%,9.316MiB / 1.946GiB / 0.47%,1.38GB / 1.44GB,16MB / 139kB,Up,2023-10-18 07:06:36.515366
platform-nginx-1,0.02%,107.6MiB / 1.946GiB / 5.40%,127MB / 103MB,94.1MB / 58.6MB,Up,2023-10-18 07:08:29.252564
odoo,0.02%,255.5MiB / 1.946GiB / 12.82%,91.2MB / 167MB,154MB / 385kB,Up,2023-10-18 07:08:29.252564
platform-pgadmin-1,0.05%,117MiB / 1.946GiB / 5.87%,54.9kB / 579kB,11.3MB / 12.4MB,Up,2023-10-18 07:08:29.252564
platform-dps-1,0.02%,39.37MiB / 1.946GiB / 1.98%,1.19MB / 1.2MB,34MB / 59.5MB,Up,2023-10-18 07:08:29.252564
postgres,0.00%,140.6MiB / 1.946GiB / 7.05%,68.6MB / 83.4MB,104MB / 1.43GB,Up,2023-10-18 07:08:29.252564
ipsec-vpn-server,0.00%,9.637MiB / 1.946GiB / 0.48%,1.38GB / 1.44GB,16MB / 139kB,Up,2023-10-18 07:08:29.252564
platform-nginx-1,0.02%,107.6MiB / 1.946GiB / 5.40%,127MB / 103MB,94.1MB / 58.6MB,Up,2023-10-18 07:09:24.718251
odoo,0.02%,255.5MiB / 1.946GiB / 12.82%,91.2MB / 167MB,154MB / 385kB,Up,2023-10-18 07:09:24.718251
platform-pgadmin-1,0.05%,117MiB / 1.946GiB / 5.87%,54.9kB / 579kB,11.3MB / 12.4MB,Up,2023-10-18 07:09:24.718251
platform-dps-1,0.01%,39.37MiB / 1.946GiB / 1.98%,1.19MB / 1.2MB,34MB / 59.6MB,Up,2023-10-18 07:09:24.718251
postgres,0.00%,140.6MiB / 1.946GiB / 7.05%,68.6MB / 83.4MB,104MB / 1.43GB,Up,2023-10-18 07:09:24.718251
ipsec-vpn-server,0.00%,9.645MiB / 1.946GiB / 0.48%,1.38GB / 1.44GB,16MB / 139kB,Up,2023-10-18 07:09:24.718251
platform-nginx-1,0.02%,107.8MiB / 1.946GiB / 5.41%,127MB / 103MB,94.1MB / 58.6MB,Up,2023-10-18 07:16:05.407898
odoo,0.03%,255.5MiB / 1.946GiB / 12.82%,91.2MB / 167MB,154MB / 385kB,Up,2023-10-18 07:16:05.407898
platform-pgadmin-1,0.04%,117MiB / 1.946GiB / 5.87%,55kB / 579kB,11.3MB / 12.4MB,Up,2023-10-18 07:16:05.407898
platform-dps-1,0.02%,39.37MiB / 1.946GiB / 1.98%,1.19MB / 1.2MB,34MB / 59.6MB,Up,2023-10-18 07:16:05.407898
postgres,0.02%,140.6MiB / 1.946GiB / 7.05%,68.6MB / 83.4MB,104MB / 1.44GB,Up,2023-10-18 07:16:05.407898
ipsec-vpn-server,0.00%,9.938MiB / 1.946GiB / 0.50%,1.38GB / 1.44GB,16MB / 139kB,Up,2023-10-18 07:16:05.407898
platform-nginx-1,0.02%,107.8MiB / 1.946GiB / 5.41%,127MB / 103MB,94.1MB / 58.6MB,Up,2023-10-18 07:16:36.515660
odoo,0.02%,255.5MiB / 1.946GiB / 12.82%,91.2MB / 167MB,154MB / 385kB,Up,2023-10-18 07:16:36.515660
platform-pgadmin-1,0.04%,117MiB / 1.946GiB / 5.87%,55kB / 579kB,11.3MB / 12.4MB,Up,2023-10-18 07:16:36.515660
platform-dps-1,0.01%,39.37MiB / 1.946GiB / 1.98%,1.19MB / 1.2MB,34MB / 59.6MB,Up,2023-10-18 07:16:36.515660
postgres,0.02%,140.6MiB / 1.946GiB / 7.05%,68.6MB / 83.4MB,104MB / 1.44GB,Up,2023-10-18 07:16:36.515660
ipsec-vpn-server,0.00%,9.324MiB / 1.946GiB / 0.47%,1.38GB / 1.44GB,16MB / 139kB,Up,2023-10-18 07:16:36.515660
platform-nginx-1,0.02%,107.9MiB / 1.946GiB / 5.41%,127MB / 103MB,94.1MB / 58.6MB,Up,2023-10-18 07:18:29.251929
odoo,0.02%,255.5MiB / 1.946GiB / 12.82%,91.3MB / 167MB,154MB / 385kB,Up,2023-10-18 07:18:29.251929
platform-pgadmin-1,0.04%,117MiB / 1.946GiB / 5.87%,55kB / 579kB,11.3MB / 12.4MB,Up,2023-10-18 07:18:29.251929
platform-dps-1,0.02%,39.37MiB / 1.946GiB / 1.98%,1.19MB / 1.2MB,34MB / 59.7MB,Up,2023-10-18 07:18:29.251929
postgres,0.00%,140.6MiB / 1.946GiB / 7.05%,68.7MB / 83.5MB,104MB / 1.44GB,Up,2023-10-18 07:18:29.251929
ipsec-vpn-server,0.00%,9.645MiB / 1.946GiB / 0.48%,1.38GB / 1.44GB,16MB / 139kB,Up,2023-10-18 07:18:29.251929
platform-nginx-1,0.02%,107.9MiB / 1.946GiB / 5.41%,127MB / 103MB,94.1MB / 58.6MB,Up,2023-10-18 07:19:24.718030
odoo,0.02%,255.5MiB / 1.946GiB / 12.82%,91.3MB / 167MB,154MB / 385kB,Up,2023-10-18 07:19:24.718030
platform-pgadmin-1,0.04%,117MiB / 1.946GiB / 5.87%,55kB / 579kB,11.3MB / 12.4MB,Up,2023-10-18 07:19:24.718030
platform-dps-1,0.01%,39.37MiB / 1.946GiB / 1.98%,1.19MB / 1.2MB,34MB / 59.7MB,Up,2023-10-18 07:19:24.718030
postgres,0.00%,140.6MiB / 1.946GiB / 7.05%,68.7MB / 83.5MB,104MB / 1.44GB,Up,2023-10-18 07:19:24.718030
ipsec-vpn-server,0.00%,9.66MiB / 1.946GiB / 0.48%,1.38GB / 1.44GB,16MB / 139kB,Up,2023-10-18 07:19:24.718030
platform-nginx-1,0.02%,107.3MiB / 1.946GiB / 5.38%,127MB / 103MB,94.1MB / 58.6MB,Up,2023-10-18 07:26:05.408506
odoo,0.02%,255.5MiB / 1.946GiB / 12.82%,91.3MB / 167MB,154MB / 385kB,Up,2023-10-18 07:26:05.408506
platform-pgadmin-1,0.05%,117MiB / 1.946GiB / 5.87%,55kB / 579kB,11.3MB / 12.4MB,Up,2023-10-18 07:26:05.408506
platform-dps-1,0.01%,39.37MiB / 1.946GiB / 1.98%,1.19MB / 1.2MB,34MB / 59.8MB,Up,2023-10-18 07:26:05.408506
postgres,0.00%,140.6MiB / 1.946GiB / 7.05%,68.7MB / 83.5MB,104MB / 1.44GB,Up,2023-10-18 07:26:05.408506
ipsec-vpn-server,0.00%,9.965MiB / 1.946GiB / 0.50%,1.38GB / 1.44GB,16MB / 139kB,Up,2023-10-18 07:26:05.408506
platform-nginx-1,0.02%,107.3MiB / 1.946GiB / 5.39%,127MB / 103MB,94.1MB / 58.6MB,Up,2023-10-18 07:26:36.518326
odoo,0.02%,255.5MiB / 1.946GiB / 12.82%,91.3MB / 167MB,154MB / 385kB,Up,2023-10-18 07:26:36.518326
platform-pgadmin-1,0.04%,117MiB / 1.946GiB / 5.87%,55kB / 579kB,11.3MB / 12.4MB,Up,2023-10-18 07:26:36.518326
platform-dps-1,0.01%,39.37MiB / 1.946GiB / 1.98%,1.19MB / 1.2MB,34MB / 59.8MB,Up,2023-10-18 07:26:36.518326
postgres,0.00%,140.6MiB / 1.946GiB / 7.05%,68.7MB / 83.5MB,104MB / 1.44GB,Up,2023-10-18 07:26:36.518326
ipsec-vpn-server,0.00%,9.367MiB / 1.946GiB / 0.47%,1.38GB / 1.44GB,16MB / 139kB,Up,2023-10-18 07:26:36.518326
platform-nginx-1,0.02%,107.4MiB / 1.946GiB / 5.39%,127MB / 103MB,94.1MB / 58.6MB,Up,2023-10-18 07:28:29.251877
odoo,0.02%,255.5MiB / 1.946GiB / 12.82%,91.4MB / 167MB,154MB / 385kB,Up,2023-10-18 07:28:29.251877
platform-pgadmin-1,0.04%,117MiB / 1.946GiB / 5.87%,55kB / 579kB,11.3MB / 12.4MB,Up,2023-10-18 07:28:29.251877
platform-dps-1,0.02%,39.37MiB / 1.946GiB / 1.98%,1.19MB / 1.2MB,34MB / 59.8MB,Up,2023-10-18 07:28:29.251877
postgres,0.00%,140.6MiB / 1.946GiB / 7.05%,68.7MB / 83.5MB,104MB / 1.44GB,Up,2023-10-18 07:28:29.251877
ipsec-vpn-server,0.00%,9.664MiB / 1.946GiB / 0.48%,1.38GB / 1.44GB,16MB / 139kB,Up,2023-10-18 07:28:29.251877
platform-nginx-1,0.02%,107.4MiB / 1.946GiB / 5.39%,127MB / 103MB,94.1MB / 58.6MB,Up,2023-10-18 07:29:24.718134
odoo,0.02%,255.5MiB / 1.946GiB / 12.82%,91.4MB / 167MB,154MB / 385kB,Up,2023-10-18 07:29:24.718134
platform-pgadmin-1,0.04%,117MiB / 1.946GiB / 5.87%,55kB / 579kB,11.3MB / 12.4MB,Up,2023-10-18 07:29:24.718134
platform-dps-1,0.01%,39.37MiB / 1.946GiB / 1.98%,1.19MB / 1.2MB,34MB / 59.8MB,Up,2023-10-18 07:29:24.718134
postgres,0.00%,140.6MiB / 1.946GiB / 7.05%,68.7MB / 83.5MB,104MB / 1.44GB,Up,2023-10-18 07:29:24.718134
ipsec-vpn-server,0.00%,9.66MiB / 1.946GiB / 0.48%,1.38GB / 1.44GB,16MB / 139kB,Up,2023-10-18 07:29:24.718134
platform-nginx-1,0.02%,98.46MiB / 1.946GiB / 4.94%,127MB / 103MB,94.1MB / 58.7MB,Up,2023-10-18 07:36:05.408473
odoo,0.02%,242.3MiB / 1.946GiB / 12.16%,91.4MB / 168MB,154MB / 385kB,Up,2023-10-18 07:36:05.408473
platform-pgadmin-1,0.04%,115.5MiB / 1.946GiB / 5.79%,55.1kB / 579kB,11.3MB / 12.4MB,Up,2023-10-18 07:36:05.408473
platform-dps-1,0.01%,38.91MiB / 1.946GiB / 1.95%,1.19MB / 1.2MB,34MB / 59.9MB,Up,2023-10-18 07:36:05.408473
postgres,0.00%,135.6MiB / 1.946GiB / 6.80%,68.7MB / 83.5MB,104MB / 1.44GB,Up,2023-10-18 07:36:05.408473
ipsec-vpn-server,0.00%,9.168MiB / 1.946GiB / 0.46%,1.38GB / 1.44GB,16MB / 139kB,Up,2023-10-18 07:36:05.408473
platform-nginx-1,0.02%,98.48MiB / 1.946GiB / 4.94%,127MB / 103MB,94.1MB / 58.7MB,Up,2023-10-18 07:36:36.515309
odoo,0.02%,242.3MiB / 1.946GiB / 12.16%,91.4MB / 168MB,154MB / 385kB,Up,2023-10-18 07:36:36.515309
platform-pgadmin-1,0.04%,115.5MiB / 1.946GiB / 5.79%,55.1kB / 579kB,11.3MB / 12.4MB,Up,2023-10-18 07:36:36.515309
platform-dps-1,0.01%,38.91MiB / 1.946GiB / 1.95%,1.19MB / 1.2MB,34MB / 59.9MB,Up,2023-10-18 07:36:36.515309
postgres,0.01%,135.6MiB / 1.946GiB / 6.80%,68.7MB / 83.6MB,104MB / 1.44GB,Up,2023-10-18 07:36:36.515309
ipsec-vpn-server,0.00%,8.543MiB / 1.946GiB / 0.43%,1.38GB / 1.44GB,16MB / 139kB,Up,2023-10-18 07:36:36.515309
platform-nginx-1,0.02%,98.53MiB / 1.946GiB / 4.94%,127MB / 103MB,94.1MB / 58.7MB,Up,2023-10-18 07:38:29.251829
odoo,0.01%,242.3MiB / 1.946GiB / 12.16%,91.4MB / 168MB,154MB / 385kB,Up,2023-10-18 07:38:29.251829
platform-pgadmin-1,0.04%,115.5MiB / 1.946GiB / 5.79%,55.1kB / 579kB,11.3MB / 12.4MB,Up,2023-10-18 07:38:29.251829
platform-dps-1,0.02%,38.91MiB / 1.946GiB / 1.95%,1.19MB / 1.2MB,34MB / 59.9MB,Up,2023-10-18 07:38:29.251829
postgres,0.00%,135.6MiB / 1.946GiB / 6.80%,68.8MB / 83.6MB,104MB / 1.44GB,Up,2023-10-18 07:38:29.251829
ipsec-vpn-server,0.00%,8.898MiB / 1.946GiB / 0.45%,1.38GB / 1.44GB,16MB / 139kB,Up,2023-10-18 07:38:29.251829
platform-nginx-1,0.02%,98.56MiB / 1.946GiB / 4.95%,127MB / 103MB,94.1MB / 58.7MB,Up,2023-10-18 07:39:24.717782
odoo,0.11%,242.3MiB / 1.946GiB / 12.16%,91.4MB / 168MB,154MB / 385kB,Up,2023-10-18 07:39:24.717782
platform-pgadmin-1,0.04%,115.5MiB / 1.946GiB / 5.79%,55.1kB / 579kB,11.3MB / 12.4MB,Up,2023-10-18 07:39:24.717782
platform-dps-1,0.01%,38.91MiB / 1.946GiB / 1.95%,1.19MB / 1.2MB,34MB / 59.9MB,Up,2023-10-18 07:39:24.717782
postgres,0.13%,135.6MiB / 1.946GiB / 6.80%,68.8MB / 83.6MB,104MB / 1.44GB,Up,2023-10-18 07:39:24.717782
ipsec-vpn-server,0.00%,8.883MiB / 1.946GiB / 0.45%,1.38GB / 1.44GB,16MB / 139kB,Up,2023-10-18 07:39:24.717782
platform-nginx-1,0.02%,98.15MiB / 1.946GiB / 4.92%,127MB / 103MB,94.8MB / 58.7MB,Up,2023-10-18 07:46:05.407896
odoo,0.02%,242.3MiB / 1.946GiB / 12.16%,91.4MB / 168MB,154MB / 385kB,Up,2023-10-18 07:46:05.407896
platform-pgadmin-1,0.04%,115.5MiB / 1.946GiB / 5.79%,55.1kB / 579kB,11.3MB / 12.4MB,Up,2023-10-18 07:46:05.407896
platform-dps-1,0.01%,38.91MiB / 1.946GiB / 1.95%,1.19MB / 1.2MB,34MB / 60MB,Up,2023-10-18 07:46:05.407896
postgres,0.00%,135.6MiB / 1.946GiB / 6.80%,68.8MB / 83.6MB,104MB / 1.44GB,Up,2023-10-18 07:46:05.407896
ipsec-vpn-server,0.00%,9.234MiB / 1.946GiB / 0.46%,1.38GB / 1.44GB,16MB / 139kB,Up,2023-10-18 07:46:05.407896
platform-nginx-1,0.02%,98.17MiB / 1.946GiB / 4.93%,127MB / 103MB,94.8MB / 58.7MB,Up,2023-10-18 07:46:36.515357
odoo,0.02%,242.3MiB / 1.946GiB / 12.16%,91.4MB / 168MB,154MB / 385kB,Up,2023-10-18 07:46:36.515357
platform-pgadmin-1,0.04%,115.5MiB / 1.946GiB / 5.79%,55.1kB / 579kB,11.3MB / 12.4MB,Up,2023-10-18 07:46:36.515357
platform-dps-1,0.01%,38.91MiB / 1.946GiB / 1.95%,1.19MB / 1.2MB,34MB / 60MB,Up,2023-10-18 07:46:36.515357
postgres,0.00%,135.6MiB / 1.946GiB / 6.80%,68.8MB / 83.6MB,104MB / 1.44GB,Up,2023-10-18 07:46:36.515357
ipsec-vpn-server,0.00%,8.578MiB / 1.946GiB / 0.43%,1.38GB / 1.44GB,16MB / 139kB,Up,2023-10-18 07:46:36.515357
platform-nginx-1,0.02%,98.35MiB / 1.946GiB / 4.93%,127MB / 103MB,95.7MB / 58.7MB,Up,2023-10-18 07:48:29.252829
odoo,0.13%,242.3MiB / 1.946GiB / 12.16%,91.5MB / 168MB,154MB / 385kB,Up,2023-10-18 07:48:29.252829
platform-pgadmin-1,0.04%,115.5MiB / 1.946GiB / 5.79%,55.2kB / 579kB,11.3MB / 12.4MB,Up,2023-10-18 07:48:29.252829
platform-dps-1,0.02%,38.91MiB / 1.946GiB / 1.95%,1.19MB / 1.2MB,34MB / 60MB,Up,2023-10-18 07:48:29.252829
postgres,0.16%,135.6MiB / 1.946GiB / 6.80%,68.8MB / 83.6MB,104MB / 1.45GB,Up,2023-10-18 07:48:29.252829
ipsec-vpn-server,0.00%,8.914MiB / 1.946GiB / 0.45%,1.38GB / 1.44GB,16MB / 139kB,Up,2023-10-18 07:48:29.252829
platform-nginx-1,0.02%,98.38MiB / 1.946GiB / 4.94%,127MB / 103MB,95.7MB / 58.7MB,Up,2023-10-18 07:49:24.718140
odoo,0.02%,242.3MiB / 1.946GiB / 12.16%,91.5MB / 168MB,154MB / 385kB,Up,2023-10-18 07:49:24.718140
platform-pgadmin-1,0.04%,115.5MiB / 1.946GiB / 5.79%,55.2kB / 579kB,11.3MB / 12.4MB,Up,2023-10-18 07:49:24.718140
platform-dps-1,0.01%,38.91MiB / 1.946GiB / 1.95%,1.19MB / 1.2MB,34MB / 60MB,Up,2023-10-18 07:49:24.718140
postgres,0.00%,135.6MiB / 1.946GiB / 6.80%,68.8MB / 83.6MB,104MB / 1.45GB,Up,2023-10-18 07:49:24.718140
ipsec-vpn-server,0.00%,8.887MiB / 1.946GiB / 0.45%,1.38GB / 1.44GB,16MB / 139kB,Up,2023-10-18 07:49:24.718140
platform-nginx-1,0.02%,98.56MiB / 1.946GiB / 4.95%,127MB / 103MB,95.7MB / 58.7MB,Up,2023-10-18 07:56:05.407941
odoo,0.02%,242.3MiB / 1.946GiB / 12.16%,91.5MB / 168MB,154MB / 385kB,Up,2023-10-18 07:56:05.407941
platform-pgadmin-1,0.04%,115.5MiB / 1.946GiB / 5.79%,55.2kB / 579kB,11.3MB / 12.4MB,Up,2023-10-18 07:56:05.407941
platform-dps-1,0.01%,38.91MiB / 1.946GiB / 1.95%,1.19MB / 1.2MB,34MB / 60.1MB,Up,2023-10-18 07:56:05.407941
postgres,0.00%,135.6MiB / 1.946GiB / 6.80%,68.8MB / 83.6MB,104MB / 1.45GB,Up,2023-10-18 07:56:05.407941
ipsec-vpn-server,0.00%,9.223MiB / 1.946GiB / 0.46%,1.38GB / 1.44GB,16MB / 139kB,Up,2023-10-18 07:56:05.407941
platform-nginx-1,0.02%,98.57MiB / 1.946GiB / 4.95%,127MB / 103MB,95.7MB / 58.7MB,Up,2023-10-18 07:56:36.515183
odoo,0.02%,242.3MiB / 1.946GiB / 12.16%,91.5MB / 168MB,154MB / 385kB,Up,2023-10-18 07:56:36.515183
platform-pgadmin-1,0.04%,115.5MiB / 1.946GiB / 5.79%,55.2kB / 579kB,11.3MB / 12.4MB,Up,2023-10-18 07:56:36.515183
platform-dps-1,0.01%,38.91MiB / 1.946GiB / 1.95%,1.19MB / 1.2MB,34MB / 60.1MB,Up,2023-10-18 07:56:36.515183
postgres,0.01%,135.6MiB / 1.946GiB / 6.80%,68.8MB / 83.6MB,104MB / 1.45GB,Up,2023-10-18 07:56:36.515183
ipsec-vpn-server,0.00%,8.594MiB / 1.946GiB / 0.43%,1.38GB / 1.44GB,16MB / 139kB,Up,2023-10-18 07:56:36.515183
platform-nginx-1,0.02%,98.63MiB / 1.946GiB / 4.95%,127MB / 103MB,95.7MB / 58.7MB,Up,2023-10-18 07:58:29.251893
odoo,0.02%,242.3MiB / 1.946GiB / 12.16%,91.5MB / 168MB,154MB / 385kB,Up,2023-10-18 07:58:29.251893
platform-pgadmin-1,0.04%,115.5MiB / 1.946GiB / 5.79%,55.2kB / 579kB,11.3MB / 12.4MB,Up,2023-10-18 07:58:29.251893
platform-dps-1,0.02%,38.91MiB / 1.946GiB / 1.95%,1.19MB / 1.2MB,34MB / 60.2MB,Up,2023-10-18 07:58:29.251893
postgres,0.00%,135.6MiB / 1.946GiB / 6.80%,68.9MB / 83.6MB,104MB / 1.45GB,Up,2023-10-18 07:58:29.251893
ipsec-vpn-server,0.00%,8.898MiB / 1.946GiB / 0.45%,1.38GB / 1.44GB,16MB / 139kB,Up,2023-10-18 07:58:29.251893
platform-nginx-1,0.02%,98.65MiB / 1.946GiB / 4.95%,127MB / 103MB,95.7MB / 58.7MB,Up,2023-10-18 07:59:24.717825
odoo,0.02%,242.3MiB / 1.946GiB / 12.16%,91.5MB / 168MB,154MB / 385kB,Up,2023-10-18 07:59:24.717825
platform-pgadmin-1,0.04%,115.5MiB / 1.946GiB / 5.79%,55.2kB / 579kB,11.3MB / 12.4MB,Up,2023-10-18 07:59:24.717825
platform-dps-1,0.01%,38.91MiB / 1.946GiB / 1.95%,1.19MB / 1.2MB,34MB / 60.2MB,Up,2023-10-18 07:59:24.717825
postgres,0.00%,135.6MiB / 1.946GiB / 6.80%,68.9MB / 83.6MB,104MB / 1.45GB,Up,2023-10-18 07:59:24.717825
ipsec-vpn-server,0.00%,8.895MiB / 1.946GiB / 0.45%,1.38GB / 1.44GB,16MB / 139kB,Up,2023-10-18 07:59:24.717825
platform-nginx-1,0.02%,98.84MiB / 1.946GiB / 4.96%,127MB / 103MB,95.7MB / 58.7MB,Up,2023-10-18 08:06:05.407434
odoo,0.02%,242.3MiB / 1.946GiB / 12.16%,91.6MB / 168MB,154MB / 385kB,Up,2023-10-18 08:06:05.407434
platform-pgadmin-1,0.04%,115.9MiB / 1.946GiB / 5.81%,55.2kB / 579kB,11.6MB / 12.4MB,Up,2023-10-18 08:06:05.407434
platform-dps-1,0.02%,38.94MiB / 1.946GiB / 1.95%,1.19MB / 1.2MB,34.1MB / 60.2MB,Up,2023-10-18 08:06:05.407434
postgres,0.00%,135.6MiB / 1.946GiB / 6.80%,68.9MB / 83.7MB,104MB / 1.45GB,Up,2023-10-18 08:06:05.407434
ipsec-vpn-server,0.00%,9.281MiB / 1.946GiB / 0.47%,1.38GB / 1.44GB,16MB / 139kB,Up,2023-10-18 08:06:05.407434
platform-nginx-1,0.02%,98.86MiB / 1.946GiB / 4.96%,127MB / 103MB,95.7MB / 58.7MB,Up,2023-10-18 08:06:36.515071
odoo,0.02%,242.3MiB / 1.946GiB / 12.16%,91.6MB / 168MB,154MB / 385kB,Up,2023-10-18 08:06:36.515071
platform-pgadmin-1,0.04%,115.9MiB / 1.946GiB / 5.81%,55.2kB / 579kB,11.6MB / 12.4MB,Up,2023-10-18 08:06:36.515071
platform-dps-1,0.01%,38.94MiB / 1.946GiB / 1.95%,1.19MB / 1.2MB,34.1MB / 60.3MB,Up,2023-10-18 08:06:36.515071
postgres,0.01%,135.6MiB / 1.946GiB / 6.80%,68.9MB / 83.7MB,104MB / 1.45GB,Up,2023-10-18 08:06:36.515071
