CPU %,Memory %,Memory mb,Memory max,Disk %,Date/Time
1.8,48.0,770613248,1087590400,37.5,2023-10-17 20:49:24.717925
1.8,47.9,770420736,1087782912,37.5,2023-10-17 20:56:05.408558
1.8,47.9,770015232,1088188416,37.5,2023-10-17 20:56:36.518603
1.8,48.0,771305472,1086898176,37.5,2023-10-17 20:58:29.252023
1.8,47.9,770056192,1088147456,37.5,2023-10-17 20:59:24.718148
1.9,48.0,771289088,1086914560,37.5,2023-10-17 21:06:05.407913
1.9,48.0,770887680,1087315968,37.5,2023-10-17 21:06:36.515538
2.0,48.0,771055616,1087139840,37.6,2023-10-17 21:08:29.252600
2.0,48.0,771371008,1086824448,37.6,2023-10-17 21:09:24.717861
2.0,48.0,772112384,1086070784,37.6,2023-10-17 21:16:05.408494
2.0,48.0,771153920,1087029248,37.6,2023-10-17 21:16:36.515667
2.1,48.0,771682304,1086496768,37.5,2023-10-17 21:18:29.251984
2.1,48.0,771698688,1086480384,37.5,2023-10-17 21:19:24.718009
2.1,48.1,773255168,1084923904,37.5,2023-10-17 21:26:05.408720
2.1,48.1,774082560,1084096512,37.5,2023-10-17 21:26:36.518197
2.1,48.1,774574080,1083596800,37.5,2023-10-17 21:28:29.252679
2.1,48.1,773111808,1085059072,37.5,2023-10-17 21:29:24.718259
2.1,48.1,773357568,1084813312,37.5,2023-10-17 21:36:05.408350
2.1,48.0,772120576,1086050304,37.5,2023-10-17 21:36:36.515849
2.2,48.1,772915200,1085255680,37.5,2023-10-17 21:38:29.252321
2.2,48.1,774582272,1083588608,37.5,2023-10-17 21:39:24.718219
2.1,47.8,767483904,1090686976,37.5,2023-10-17 21:46:05.408325
2.1,47.8,766722048,1091448832,37.5,2023-10-17 21:46:36.515906
2.1,47.8,767229952,1090940928,37.5,2023-10-17 21:48:29.252124
2.1,47.9,769462272,1088708608,37.5,2023-10-17 21:49:24.717740
2.1,47.8,766758912,1091411968,37.5,2023-10-17 21:56:05.407993
2.1,47.8,767135744,1091035136,37.5,2023-10-17 21:56:36.515565
2.0,47.8,767692800,1090478080,37.5,2023-10-17 21:58:29.251932
2.0,47.7,765415424,1092755456,37.5,2023-10-17 21:59:24.718236
2.0,47.8,766832640,1091338240,37.6,2023-10-17 22:06:05.407747
1.9,47.8,766685184,1091485696,37.6,2023-10-17 22:06:36.515166
2.0,47.9,769581056,1088589824,37.6,2023-10-17 22:08:29.252391
1.9,47.7,766062592,1092108288,37.6,2023-10-17 22:09:24.718301
1.9,47.9,768888832,1089265664,37.6,2023-10-17 22:16:05.408453
1.9,47.8,766820352,1091334144,37.6,2023-10-17 22:16:36.517711
1.9,48.0,771362816,1086791680,37.6,2023-10-17 22:18:29.252726
1.9,47.7,765878272,1092276224,37.6,2023-10-17 22:19:24.718131
1.9,47.8,767344640,1090793472,37.6,2023-10-17 22:26:05.407600
1.9,47.8,766595072,1091543040,37.6,2023-10-17 22:26:36.515157
1.9,47.8,766922752,1091215360,37.6,2023-10-17 22:28:29.251977
1.9,47.8,768147456,1089990656,37.6,2023-10-17 22:29:24.718396
1.9,48.1,773275648,1084829696,37.6,2023-10-17 22:36:05.408816
1.9,48.1,774520832,1083584512,37.6,2023-10-17 22:36:36.518360
2.0,47.8,767852544,1090252800,37.6,2023-10-17 22:38:29.252710
2.0,47.9,769413120,1088692224,37.6,2023-10-17 22:39:24.718328
2.0,47.8,767676416,1090428928,37.6,2023-10-17 22:46:05.408253
2.0,47.9,768663552,1089441792,37.6,2023-10-17 22:46:36.515861
2.1,47.8,767565824,1090588672,37.6,2023-10-17 22:48:29.251960
2.1,47.9,769028096,1089126400,37.6,2023-10-17 22:49:24.718092
